ID,title,description,link,images_link,price,availability,stock,shipping_weight,shipping_length,shipping_width,tax,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,product_type
5219,"BLV Watch Noir 40mm","<span data-contrast=""none"">Découvrez la montre connectée BLV WATCH. Simple d'utilisation, élégante, grande autonomie, juste l'essentielle. BLV Watch est une montre connectée santé qui partout où vous l'emportez sera toujours là pour remplacer votre téléphone. N'ayez que l'essentielle entre vos mains. Suivre votre santé, votre forme physique, regardez vos notifications, écoutez de la musique, appeler un être cher ou encore regardez la météo pour sortir l'esprit libre.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}""> </span>

<span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}""> </span>",https://www.black-vergo-shop.com/produit/all-blv-watch/,"https://www.black-vergo-shop.com/wp-content/uploads/2021/10/BLV-Watch-Noire-Vue-General-8.jpg ! alt :  ! title : BLV Watch Noire Vue Géneral-8 ! desc :  ! caption : ",89.99,instock,,0.3,0.044,0.038,,,,"Montres connectés"
5298,"BLV Watch Bleu 40mm","<span data-contrast=""none"">Découvrez la montre connectée BLV WATCH. Simple d'utilisation, élégante, grande autonomie, juste l'essentielle. BLV Watch est une montre connectée santé qui partout où vous l'emportez sera toujours là pour remplacer votre téléphone. N'ayez que l'essentielle entre vos mains. Suivre votre santé, votre forme physique, regardez vos notifications, écoutez de la musique, appeler un être cher ou encore regardez la météo pour sortir l'esprit libre.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}""> </span>

<span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}""> </span>",https://www.black-vergo-shop.com/produit/all-blv-watch-bleu/,"https://www.black-vergo-shop.com/wp-content/uploads/2021/10/BLV-Watch-Bleue-1.jpg ! alt :  ! title : BLV Watch Bleue (1) ! desc :  ! caption : ",89.99,instock,,0.3,0.044,0.038,,,,"Montres connectés"
5299,"BLV Watch Blanc 40mm","<span data-contrast=""none"">Découvrez la montre connectée BLV WATCH. Simple d'utilisation, élégante, grande autonomie, juste l'essentielle. BLV Watch est une montre connectée santé qui partout où vous l'emportez sera toujours là pour remplacer votre téléphone. N'ayez que l'essentielle entre vos mains. Suivre votre santé, votre forme physique, regardez vos notifications, écoutez de la musique, appeler un être cher ou encore regardez la météo pour sortir l'esprit libre.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}""> </span>

<span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}""> </span>",https://www.black-vergo-shop.com/produit/all-blv-watch-blanc/,"https://www.black-vergo-shop.com/wp-content/uploads/2021/10/BLV-Watch-Blanche-Vue-General-2.jpg ! alt :  ! title : BLV Watch Blanche Vue Géneral-2 ! desc :  ! caption : ",89.99,instock,,0.3,0.044,0.038,,,,"Montres connectés"
5300,"BLV Watch Rose 40mm","<span data-contrast=""none"">Découvrez la montre connectée BLV WATCH. Simple d'utilisation, élégante, grande autonomie, juste l'essentielle. BLV Watch est une montre connectée santé qui partout où vous l'emportez sera toujours là pour remplacer votre téléphone. N'ayez que l'essentielle entre vos mains. Suivre votre santé, votre forme physique, regardez vos notifications, écoutez de la musique, appeler un être cher ou encore regardez la météo pour sortir l'esprit libre.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}""> </span>

<span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}""> </span>",https://www.black-vergo-shop.com/produit/all-blv-watch-rose/,"https://www.black-vergo-shop.com/wp-content/uploads/2021/10/BLV-Watch-Rose-Vue-Face-3.jpg ! alt :  ! title : BLV Watch Rose Vue Face-3 ! desc :  ! caption : ",89.99,instock,,0.3,0.044,0.038,,,,"Montres connectés"
5301,"BLV Watch Rouge 40mm","<span data-contrast=""none"">Découvrez la montre connectée BLV WATCH. Simple d'utilisation, élégante, grande autonomie, juste l'essentielle. BLV Watch est une montre connectée santé qui partout où vous l'emportez sera toujours là pour remplacer votre téléphone. N'ayez que l'essentielle entre vos mains. Suivre votre santé, votre forme physique, regardez vos notifications, écoutez de la musique, appeler un être cher ou encore regardez la météo pour sortir l'esprit libre.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}""> </span>

<span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}""> </span>",https://www.black-vergo-shop.com/produit/all-blv-watch-rouge/,"https://www.black-vergo-shop.com/wp-content/uploads/2021/10/BLV-Watch-Rouge-1-2.jpg ! alt :  ! title : BLV Watch Rouge (1)-2 ! desc :  ! caption : ",89.99,instock,,0.3,0.044,0.038,,,,"Montres connectés"
